[2025-06-21 03:50:49,463] INFO: Checking for Factorio server updates...
[2025-06-21 03:50:50,251] INFO: Checking if players are online...
[2025-06-21 03:50:50,252] INFO: Stopping Factorio server to update files...
[2025-06-21 03:50:50,252] INFO: Stopping Factorio server with PID 7828
[2025-06-21 03:51:50,251] INFO: Finished waiting for Factorio server to stop.
[2025-06-21 03:51:50,252] INFO: Current version 2.0.54 does not match expected version stable.
[2025-06-21 03:51:50,252] INFO: Updating Factorio server files...
[2025-06-21 03:51:50,949] INFO: Backing up Factorio server files to /tmp/factorio_backup/
[2025-06-21 03:51:54,415] INFO: Backup completed successfully to /tmp/factorio_backup/
[2025-06-21 03:51:54,415] INFO: Removing old Factorio directory
[2025-06-21 03:51:54,703] INFO: Pulling factorio files for version 2.0.55
[2025-06-21 03:52:01,936] INFO: Factorio server files downloaded to /tmp/factorio_downloads/factorio.tar.xz
[2025-06-21 03:52:01,948] INFO: Installing Factorio server files from /tmp/factorio_downloads/factorio.tar.xz to /opt/factorio
[2025-06-21 03:52:07,625] INFO: Restoring Factorio server files from backup /tmp/factorio_backup/ to /opt/factorio
[2025-06-21 03:52:13,439] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
[2025-06-21 03:52:14,734] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:52:16,707] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:52:16,708] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:52:16,708] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log /factorio/factorio-console.log --start-server /factorio/saves/default_save.zip
[2025-06-21 03:52:16,710] INFO: Factorio server started with PID 8696
[2025-06-21 03:53:36,707] INFO: Checking for Factorio server updates...
[2025-06-21 03:55:10,992] INFO: Manager initialized successfully.
[2025-06-21 03:55:10,993] INFO: Factorio server files not found, downloading...
[2025-06-21 03:55:10,998] INFO: Pulling factorio files for version 2.0.55
[2025-06-21 03:55:17,988] INFO: Factorio server files downloaded to /tmp/factorio_downloads/factorio.tar.xz
[2025-06-21 03:55:17,999] INFO: Installing Factorio server files from /tmp/factorio_downloads/factorio.tar.xz to /opt/factorio
[2025-06-21 03:55:23,373] INFO: Creating necessary directories in /opt/factorio
[2025-06-21 03:55:23,385] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
[2025-06-21 03:55:23,496] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:55:25,487] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:55:25,487] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:55:25,488] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password WUO5BM9T0IHES0K --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log /factorio/factorio-console.log --start-server /factorio/saves/default_save.zip
[2025-06-21 03:55:25,489] INFO: Factorio server started with PID 748
[2025-06-21 03:56:25,487] INFO: Checking for Factorio server updates...
[2025-06-21 03:56:50,109] INFO: Manager initialized successfully.
[2025-06-21 03:56:50,110] INFO: Factorio server files not found, downloading...
